epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,32.1859,1.62886,1.77595,0.90726,0.00282,0.49987,0.77849,0.66358,0.74325,0.44048,0.73494,0.60446,0.67111,0.34182,1.7292,2.24827,1.19777,0.00954,0,0.00033033,0.00033033,0.00033033
2,61.7512,1.66178,1.85758,0.94335,0.00297,0.60624,0.62691,0.67074,0.66082,0.37329,0.58182,0.59275,0.58461,0.27608,1.79781,2.3834,1.38944,0.01055,0,0.000647238,0.000647238,0.000647238
3,91.6041,1.72664,1.90782,1.02532,0.0031,0.71104,0.56721,0.66415,0.61681,0.33675,0.51029,0.57329,0.51849,0.25371,1.8367,2.36143,1.39366,0.01066,0,0.000947646,0.000947646,0.000947646
4,123.097,1.74809,1.98302,1.06234,0.00335,0.75216,0.61928,0.58817,0.62452,0.33407,0.59647,0.51693,0.54138,0.26619,1.81839,2.37339,1.40885,0.01096,0,0.00092575,0.00092575,0.00092575
5,153.341,1.75761,1.9995,1.06606,0.00336,0.74916,0.6837,0.60549,0.64024,0.32401,0.67659,0.55458,0.57313,0.26755,1.846,2.32662,1.48665,0.01143,0,0.000901,0.000901,0.000901
6,183.54,1.75876,1.94006,1.0644,0.00327,0.78344,0.54245,0.54553,0.56769,0.31235,0.53538,0.5374,0.55169,0.24653,1.82187,2.26444,1.60337,0.01036,0,0.00087625,0.00087625,0.00087625
7,213.832,1.75255,1.98029,1.08291,0.00335,0.75077,0.60944,0.58247,0.58943,0.32454,0.58334,0.52778,0.53043,0.25592,1.78201,2.29881,1.64127,0.01045,0,0.0008515,0.0008515,0.0008515
8,243.089,1.73609,1.91259,1.06186,0.00326,0.70682,0.64713,0.59722,0.63002,0.35816,0.65567,0.56018,0.59815,0.28199,1.78193,2.24938,1.59776,0.01072,0,0.00082675,0.00082675,0.00082675
9,272.404,1.77374,1.93486,1.05955,0.00327,0.7163,0.68496,0.53196,0.59648,0.32337,0.65904,0.48485,0.55225,0.26303,1.81939,2.23912,1.45284,0.01097,0,0.000802,0.000802,0.000802
10,301.613,1.74516,1.93957,1.04429,0.0034,0.72249,0.62855,0.66233,0.64938,0.33881,0.61595,0.61411,0.61559,0.26959,1.80346,2.18852,1.44941,0.01088,0,0.00077725,0.00077725,0.00077725
