epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,31.5283,2.14229,2.98967,3.59299,0.00427,6.12807,0.48711,0.21431,0.22697,0.1012,0.44911,0.20222,0.20725,0.08375,2.01677,2.87143,3.47315,0.01023,0,0.00033033,0.00033033,0.00033033
2,60.5392,2.0109,2.56308,1.94793,0.00397,3.41825,0.24193,0.35217,0.2643,0.10567,0.19639,0.28999,0.19773,0.07241,2.13981,2.79452,2.90303,0.01288,0,0.000657093,0.000657093,0.000657093
3,89.4774,2.03729,2.511,1.75231,0.00402,2.58726,0.44461,0.28571,0.2626,0.12209,0.39977,0.28746,0.22754,0.08272,2.08852,2.88124,2.86657,0.0126,0,0.000977256,0.000977256,0.000977256
4,118.261,2.05549,2.53563,1.7251,0.00434,1.8679,0.23424,0.27038,0.22754,0.10512,0.25185,0.23215,0.1912,0.06965,2.13929,2.85149,2.66992,0.01479,0,0.0009703,0.0009703,0.0009703
5,146.761,2.02357,2.50918,1.68854,0.00454,1.53432,0.43449,0.27961,0.27995,0.12267,0.42313,0.27387,0.25158,0.08353,2.11439,2.98358,2.45614,0.0136,0,0.0009604,0.0009604,0.0009604
6,175.572,2.04269,2.48005,1.64071,0.00427,1.4223,0.39714,0.31789,0.3156,0.14077,0.34702,0.30513,0.27156,0.10123,2.09246,2.9946,2.36951,0.01319,0,0.0009505,0.0009505,0.0009505
7,203.985,2.00858,2.47992,1.59361,0.00424,1.35473,0.33631,0.34953,0.27488,0.12751,0.33439,0.31193,0.23607,0.08547,2.08331,2.68575,2.30117,0.0135,0,0.0009406,0.0009406,0.0009406
8,232.798,2.00744,2.41545,1.55138,0.00416,1.32131,0.27044,0.38557,0.31471,0.15262,0.24137,0.37581,0.29063,0.11075,1.9227,2.59307,2.31954,0.01141,0,0.0009307,0.0009307,0.0009307
9,261.531,1.97932,2.39995,1.52189,0.00402,1.33524,0.31241,0.37698,0.32309,0.14456,0.29123,0.34667,0.27319,0.1152,2.01389,2.63812,2.02615,0.01148,0,0.0009208,0.0009208,0.0009208
10,289.947,1.98222,2.34987,1.52195,0.00413,1.34225,0.51099,0.30015,0.31175,0.14848,0.47527,0.3117,0.28331,0.11328,2.06154,2.62998,2.11598,0.01303,0,0.0009109,0.0009109,0.0009109
